district,latitude,longitude
Chandrapur,20.0967555,79.5045475
Kottayam,9.6287383,76.6455326
Sangrur,30.135717,75.8533326
Muzaffarpur,26.1482548,85.3316097
Kadapa YSR,14.4752936,78.8216861
Dharwad,15.3707296,75.1332867
Solapur,17.8499067,75.2763203
Nizamabad,18.6732693,78.0978477
Ganganagar,23.7497214,91.876635
Chamba,32.6923316,76.1631552
Gaya,24.6793889,85.0115833
Jalaun,26.1048633,79.3919136
Basti,26.8387083,82.5350919
Dibrugarh,27.4844597,94.9019447
Panchmahal,22.6978098,73.5980682
Hyderabad,17.360589,78.4740613
Valsad,20.4321957,73.1409893
Chhatarpur,24.7606089,79.6781776
Bankura,23.132377,87.2081925
Kollam,8.8870815,76.5907017
Gorakhpur,26.6677977,83.3642334
Phulbani ( Kandhamal ),20.4762322,84.2348517
Jhargram,22.4538505,86.9949477
Rajgarh,23.8716706,76.7744703
Rewa,24.7560846,81.3810574
Sambalpur,21.5570606,84.1528515
Guna,24.5001772,77.2600959
Sirohi,24.8114047,72.8300257
Surat,21.2094892,72.8317058
Thanjavur,10.659037,79.2014278
Churu,28.2047781,74.6912996
Kolhapur,16.7028412,74.2405329
Krishna,16.21277,81.0306958
Srikakulam,18.2949307,83.8938844
Shahjahanpur,27.9128583,79.7476254
Alwar,27.4140048,76.6170387
Bharatpur,27.0246959,77.2920116
Purulia,23.2020967,86.3228988
Thrissur,10.5270099,76.214621
Mandla,22.6871074,80.5816341
Lakhimpur,27.1763356,94.1992932
Udaipur,24.578721,73.6862571
Salem,11.6469616,78.2106958
Buldhana,20.562845,76.4086986
Hooghly,22.9099402,88.0120825
Ahmedabad,23.0215374,72.5800568
Indore,22.7203616,75.8681996
Moradabad,28.8796553,78.8095335
Junagadh,21.5220416,70.4582458
Ghazipur,25.6034862,83.5075888
Palakkad,10.7873691,76.4742172
Deoria,26.4239911,83.7638578
Surguja,22.9469135,83.1656942
Raisen,23.2675909,78.1727134
Tumkur,13.3400771,77.1006208
Bahraich,27.7343823,81.47654
Betul,21.8797472,77.8753651
Bhind,26.3518828,78.6863189
Rohtak,28.9010899,76.5801935
Burdwan,23.2495714,87.8681751
Saharsa,25.8330757,86.6143751
Ambala,30.3843674,76.770421
Dhule,21.1305215,74.4900614
Lahul & Spiti,32.5391825,77.1983343
Bhavnagar,21.7718836,72.1416449
Mandya,12.6368939,76.7275477
Hissar,29.1155934,75.1835578
Tikamgarh,24.8552105,79.0472546
Jodhpur,26.2967719,73.0351433
Mahendragarh,28.132697,76.1697448
Sibsagar,26.9834936,94.6394226
Jhalawar,24.3132368,76.5221078
Guntur,16.2915189,80.4541588
Meerut,29.0018557,77.7679671
Ratlam,23.50222,74.9551534
S.P.S. Nellore,14.4568284,79.9897754
Bijapur,18.7935679,80.815939
Vadodara,22.2973142,73.1942567
Patiala,30.2092777,76.3397231
Vidisha,23.8463003,77.8370209
Sultanpur,26.2604732,82.2380532
Shajapur,23.4171001,76.6074794
Thiruvananthapuram,8.4882267,76.947551
Kapurthala,31.3856476,75.3053304
Mandsaur,24.2628148,75.385692
Faizabad,26.7807986,82.1486589
Khargone,21.9544729,75.7521248
Bareilly,28.4582344,79.4047452
Etah,27.5550357,78.5992221
Khandwa,21.8203752,76.3555424
Surendranagar,22.8251395,71.6209736
Medak,17.9375095,78.211745
Pilibhit,28.4947158,80.1076122
Sundargarh,22.0605153,83.9359154
Nanded,19.0940088,77.4831922
Dungarpur,23.8538893,73.7087177
Seoni,22.2748109,79.7202522
Gurgaon,28.4646148,77.0299194
Raichur,16.0547194,76.9003647
Kannur,11.8763836,75.3737973
Uttara Kannada,14.7253795,74.6403389
Durg,21.1982964,81.4007922
Kalahandi,19.8265756,83.0408702
Farrukhabad,27.4362002,79.4894778
Varanasi,25.3356491,83.0076292
Bidar,18.0207296,77.2487204
Sabarkantha,23.8688505,73.013784
Coimbatore,11.0018115,76.9628425
Unnao,26.5673264,80.6198193
Gonda,27.1103723,81.9238906
Darrang,26.4373481,92.0047145
